SYMBOL,Yahoo_Symbol
BSE:BSX1!,BSX1!.BO
BSE:SENSEX,SENSEX.BO
BTCUSD,BTC-USD
COPPER,COPPER
GOLD,GOLD
IG-HANGSENG,^HSI
NATGASUSD,NATGASUSD
NSE:AARTIIND,AARTIIND.NS
NSE:ABB,ABB.NS
NSE:ABCAPITAL,ABCAPITAL.NS
NSE:ABFRL,ABFRL.NS
NSE:ACC,ACC.NS
NSE:ADANIENSOL,ADANIENSOL.NS
NSE:ADANIENT,ADANIENT.NS
NSE:ADANIGREEN,ADANIGREEN.NS
NSE:ADANIPORTS,ADANIPORTS.NS
NSE:ALKEM,ALKEM.NS
NSE:AMBUJACEM,AMBUJACEM.NS
NSE:ANGELONE,ANGELONE.NS
NSE:APLAPOLLO,APLAPOLLO.NS
NSE:APOLLOHOSP,APOLLOHOSP.NS
NSE:APOLLOTYRE,APOLLOTYRE.NS
NSE:ASHOKLEY,ASHOKLEY.NS
NSE:ASIANPAINT,ASIANPAINT.NS
NSE:ASTRAL,ASTRAL.NS
NSE:ATGL,ATGL.NS
NSE:AUBANK,AUBANK.NS
NSE:AUROPHARMA,AUROPHARMA.NS
NSE:AXISBANK,AXISBANK.NS
NSE:BAJAJFINSV,BAJAJFINSV.NS
NSE:BAJAJ_AUTO,BAJAJ_AUTO.NS
NSE:BAJFINANCE,BAJFINANCE.NS
NSE:BALKRISIND,BALKRISIND.NS
NSE:BANDHANBNK,BANDHANBNK.NS
NSE:BANKBARODA,BANKBARODA.NS
NSE:BANKINDIA,BANKINDIA.NS
NSE:BANKNIFTY,BANKNIFTY.NS
NSE:BANKNIFTY1!,BANKNIFTY1!.NS
NSE:BEL,BEL.NS
NSE:BHARATFORG,BHARATFORG.NS
NSE:BHARTIARTL,BHARTIARTL.NS
NSE:BHEL,BHEL.NS
NSE:BIOCON,BIOCON.NS
NSE:BOSCHLTD,BOSCHLTD.NS
NSE:BPCL,BPCL.NS
NSE:BRITANNIA,BRITANNIA.NS
NSE:BSE,BSE.NS
NSE:BSOFT,BSOFT.NS
NSE:CAMS,CAMS.NS
NSE:CANBK,CANBK.NS
NSE:CDSL,CDSL.NS
NSE:CESC,CESC.NS
NSE:CGPOWER,CGPOWER.NS
NSE:CHAMBLFERT,CHAMBLFERT.NS
NSE:CHOLAFIN,CHOLAFIN.NS
NSE:CIPLA,CIPLA.NS
NSE:CNXFINANCE,CNXFINANCE.NS
NSE:COALINDIA,COALINDIA.NS
NSE:COFORGE,COFORGE.NS
NSE:COLPAL,COLPAL.NS
NSE:CONCOR,CONCOR.NS
NSE:CROMPTON,CROMPTON.NS
NSE:CUMMINSIND,CUMMINSIND.NS
NSE:CYIENT,CYIENT.NS
NSE:DABUR,DABUR.NS
NSE:DALBHARAT,DALBHARAT.NS
NSE:DEEPAKNTR,DEEPAKNTR.NS
NSE:DELHIVERY,DELHIVERY.NS
NSE:DIVISLAB,DIVISLAB.NS
NSE:DIXON,DIXON.NS
NSE:DLF,DLF.NS
NSE:DMART,DMART.NS
NSE:DRREDDY,DRREDDY.NS
NSE:EICHERMOT,EICHERMOT.NS
NSE:ESCORTS,ESCORTS.NS
NSE:ETERNAL,ETERNAL.NS
NSE:EXIDEIND,EXIDEIND.NS
NSE:FEDERALBNK,FEDERALBNK.NS
NSE:FINNIFTY1!,FINNIFTY1!.NS
NSE:GAIL,GAIL.NS
NSE:GLENMARK,GLENMARK.NS
NSE:GMRAIRPORT,GMRAIRPORT.NS
NSE:GODREJCP,GODREJCP.NS
NSE:GODREJPROP,GODREJPROP.NS
NSE:GRANULES,GRANULES.NS
NSE:GRASIM,GRASIM.NS
NSE:HAL,HAL.NS
NSE:HAVELLS,HAVELLS.NS
NSE:HCLTECH,HCLTECH.NS
NSE:HDFCAMC,HDFCAMC.NS
NSE:HDFCBANK,HDFCBANK.NS
NSE:HDFCLIFE,HDFCLIFE.NS
NSE:HEROMOTOCO,HEROMOTOCO.NS
NSE:HFCL,HFCL.NS
NSE:HINDALCO,HINDALCO.NS
NSE:HINDCOPPER,HINDCOPPER.NS
NSE:HINDPETRO,HINDPETRO.NS
NSE:HINDUNILVR,HINDUNILVR.NS
NSE:HINDZINC,HINDZINC.NS
NSE:HUDCO,HUDCO.NS
NSE:ICICIBANK,ICICIBANK.NS
NSE:ICICIGI,ICICIGI.NS
NSE:ICICIPRULI,ICICIPRULI.NS
NSE:IDEA,IDEA.NS
NSE:IDFCFIRSTB,IDFCFIRSTB.NS
NSE:IEX,IEX.NS
NSE:IGL,IGL.NS
NSE:IIFL,IIFL.NS
NSE:INDHOTEL,INDHOTEL.NS
NSE:INDIANB,INDIANB.NS
NSE:INDIAVIX,INDIAVIX.NS
NSE:INDIGO,INDIGO.NS
NSE:INDUSINDBK,INDUSINDBK.NS
NSE:INDUSTOWER,INDUSTOWER.NS
NSE:INFY,INFY.NS
NSE:INOXWIND,INOXWIND.NS
NSE:IOC,IOC.NS
NSE:IRB,IRB.NS
NSE:IRCTC,IRCTC.NS
NSE:IREDA,IREDA.NS
NSE:IRFC,IRFC.NS
NSE:ITC,ITC.NS
NSE:JINDALSTEL,JINDALSTEL.NS
NSE:JIOFIN,JIOFIN.NS
NSE:JSL,JSL.NS
NSE:JSWENERGY,JSWENERGY.NS
NSE:JSWSTEEL,JSWSTEEL.NS
